row 1: 附件1 |  |  |  |  |  |  |  |  | 
row 2: 桂林市2022年重大（前期）项目投资计划 |  |  |  |  |  |  |  |  | 
row 3: 编制单位：桂林市重大项目推进办公室 |  |  |  |  | 单位：万元 |  |  |  | 
row 4: 序号 | 项目名称 | 建设规模及内容 | 总投资 | 2022年前期工作或工程
形象进度目标 | 项目业主 | 责任单位 |  |  | 
row 5:  | 合计 | 241 | 32890747.21 |  |  |  | 32890747.21 | 0 | #REF!
row 6:  | 一、基础设施 | 64 | 8393887.27 |  |  |  |  |  | 
row 7:  | （一）交通 | 14 | 1584946 |  |  |  |  |  | 
row 8:  | ——铁路 | 2 | 402600 |  |  |  |  |  | 
row 9: 1 | 桂林北综合客运枢纽（一期秀峰片区） | 项目总规划用地面积59.18公顷，总建筑 | 394000 | 完成高铁站房、集散中心117亩地块征收。 | 市交投集团 | 秀峰区政府 | 前期 | 铁路 | 
row 10: 2 | 桂林北站站房及东广场改造一期工程 | 进行桂林北站站房、站前广场地面规划改造及 | 8600 | 完成项目前期手续办理，开展施工图设计工作 | 桂林市鼎捷资产管理集团有限公司 | 市交通运输局 | 前期 | 铁路 | 
row 11:  | ——航空 | 1 | 35000 |  |  |  |  |  | 
row 12: 1 | 恭城县通用机场 | 项目规划用地500亩，主要建设内容包括： | 35000 | 完成项目选址核准。 | 待定 | 恭城瑶族自治县政府 | 前期 | 航空 | 
row 13:  | ——水运 | 3 | 750000 |  |  |  |  |  | 
row 14: 1 | 桂江运力提升工程 | 将桂江航道提升为Ⅲ级，改造后巴江电站船闸 | 400000 | 做好项目前期工作。 | 广西壮族自治区港航管理局、市交通运输局 | 平乐县政府 | 前期 | 水运 | 
row 15: 2 | 印山码头公路港建设项目 | 项目总用地面积132.5亩，建设规模为岸 | 100000 | 完善项目商业模式及运营支持方式，确定合作 | 广西平乐弘润投资建设有限公司 | 平乐县政府 | 前期 | 水运 | 
row 16: 3 | 桂林市桂江巴江口船闸改扩能工程 | 建设二级（兼顾3000吨单船）船闸1座。 | 250000 | 开展《巴江口船闸改扩能工程》四级提升二级 | 待定 | 市交通运输局 | 前期 | 水运 | 
row 17:  | ——其他公路 | 8 | 397346 |  |  |  |  |  | 
row 18: 1 | 全州至将军坳（全州至大西江包家湾段）公路 | 规划建设一条二级公路，约41公里。 | 25000 | 开展前期相关工作。 | 全州县交通运输局 | 全州县政府 | 前期 | 其他公路 | 
row 19: 2 | 全州县文桥至大西江公路 | 规划新建一条三级公路，约22公里。 | 10700 | 完成施工图设计、招标工作、开展项目征地拆 | 全州县交通运输局 | 全州县政府 | 前期 | 其他公路 | 
row 20: 3 | 灌阳县新圩镇新卫村经平田至文市镇瑶上村道 | 二级公路，长8.163公里，路基宽8.5 | 7127 | 完成项目前期工作。 | 灌阳县交通运输局 | 灌阳县政府 | 前期 | 其他公路 | 
row 21: 4 | 龙城高速芙蓉出口至伟江公路工程 | 路线全长11.88千米。拟采用三级公路标 | 32948 | 开展相关前期工作。 | 龙胜各族自治县交通运输局 | 龙胜各族自治县政府 | 前期 | 其他公路 | 
row 22: 5 | S301永安关至龙胜线（江底乡绕城线） | 总长5公里，采用二级公路，设计速度40千 | 6000 | 开展相关前期工作。 | 龙胜各族自治县公路养护中心 | 龙胜各族自治县政府 | 前期 | 其他公路 | 
row 23: 6 | G321广成线（龙脊至双洞段） | 总长6公里，采用一级公路，路基宽度26米 | 30000 | 开展相关前期工作。 | 龙胜各族自治县公路养护中心 | 龙胜各族自治县政府 | 前期 | 其他公路 | 
row 24: 7 | 贺巴高速荔浦龙怀连接线建设项目 | 路线起点位于荔浦市青山镇永镇村歧路屯，途 | 35571 | 完成项目可研批复、规划设计等前期工作。 | 荔浦市交通运输局 | 荔浦市政府 | 前期 | 其他公路 | 
row 25: 8 | 国道321雁山至临桂段公路改线工程 | 国道321雁山至临桂段公路改线工程按一级 | 250000 | 完成可行性研究报告的上报及审批。 | 市交投集团 | 市交通运输局 | 前期 | 其他公路 | 
row 26:  | （二）能源 | 11 | 2300685 |  |  |  |  |  | 
row 27:  | ——风电 | 5 | 620000 |  |  |  |  |  | 
row 28: 1 | 全州凤凰岭风电场 | 装机容量100兆瓦。 | 80000 | 开展项目前期工作。 | 中能华光全州新能源有限公司 | 全州县政府 | 前期 | 风电 | 
row 29: 2 | 全州凤凰山风电场 | 装机容量102兆瓦。 | 85000 | 开展项目前期工作。 | 国电全州优能公司 | 全州县政府 | 前期 | 风电 | 
row 30: 3 | 资源县十万古田风电场二期 | 装机容量300兆瓦。 | 300000 | 完成全部前期工作。 | 国家电投集团广西金紫山电力有限公司 | 资源县政府 | 前期 | 风电 | 
row 31: 4 | 平乐沙子风电场 | 拟安装单机容量4兆瓦的风力发电机组25台 | 90000 | 落实风电指标、完成项目核准等前期工作。 | 广西大唐桂冠新能源有限公司 | 平乐县政府 | 前期 | 风电 | 
row 32: 5 | 平乐县茶山风电场 | 拟配套新建一座110千伏升压站。装机容量 | 65000 | 落实风电指标、完成项目核准等前期工作。 | 北海中电嘉华科技发展有限公司 | 平乐县政府 | 前期 | 风电 | 
row 33:  | ——输变电 | 2 | 102685 |  |  |  |  |  | 
row 34: 1 | 七星区全区变电站基本建设工程 | 1.110千伏甲天下变电站进出站电力管沟 | 60000 | 实现甲天下变电站动工建设。 | 广西电网桂林供电局、桂林漓东科技投资有限 | 七星区政府 | 前期 | 输变电 | 
row 35: 2 | 桂林市老城区配套电力管沟建设工程（一期） | 1.七星区碧云变电站配套110千伏、10 | 42685 | 完成项目前期工作，力争开工建设。 | 市经投集团 | 市经投集团 | 前期 | 输变电 | 
row 36:  | ——其他能源 | 4 | 1578000 |  |  |  |  |  | 
row 37: 1 | 七星区分布式能源屋顶光伏发电项目 | 租用七星区部分学校、部分企业现有房屋屋顶 | 150000 | 率先在学校实现项目动工建设2兆瓦光伏发电 | 桂林粤电新能源有限公司 | 七星区政府 | 前期 | 其他能源 | 
row 38: 2 | 东方红站点抽水蓄能项目 | 东方红抽水蓄能电站位于桂林市兴安县境内， | 600000 | 力争完成各项前期工作。 | 国家电投集团广西兴安风电有限公司 | 兴安县政府 | 前期 | 其他能源 | 
row 39: 3 | 灌阳抽水蓄能电站项目 | 电站装机容量120万千瓦，安装4台单机容 | 800000 | 完成项目前期工作，力争开工建设。 | 南方电网调峰调频发电有限公司 | 灌阳县政府 | 前期 | 其他能源 | 
row 40: 4 | 国能永福光伏及综合能源开发项目 | 项目总投资约2.8亿元，用于建设光伏及综 | 28000 | 完成招投标工作，并开展光伏板安装。 | 国能永福发电有限公司 | 经济技术开发区管委会 | 前期 | 其他能源 | 
row 41:  | （三）水利 | 6 | 1014310.98 |  |  |  |  |  | 
row 42:  | ——防洪工程 | 1 | 20700 |  |  |  |  |  | 
row 43: 1 | 象山区中小河流防洪治理工程 | 项目位于平山街道办事处与二塘乡，对南湾河 | 20700 | 开展前期工作。 | 象山区人民政府 | 象山区政府 | 前期 | 防洪工程 | 
row 44:  | ——水库及水利枢纽 | 2 | 813376 |  |  |  |  |  | 
row 45: 1 | 恭城县社坪水库 | 项目新建中型水库1座，工程等别为Ⅲ等，主 | 51520 | 完成可行性研究报告批复工作。 | 恭城瑶族自治县水利局 | 恭城瑶族自治县政府 | 前期 | 水库及水利枢纽 | 
row 46: 2 | 广西桂林市长塘水库工程 | 长塘水库工程是一座以城乡供水、灌溉为主， | 761856 | 继续推动可研报告审批工作，同步开展长塘水 | 桂林市青龙潭水利建设投资有限公司 | 市水利局 | 前期 | 水库及水利枢纽 | 
row 47:  | ——其他水利 | 3 | 180234.98 |  |  |  |  |  | 
row 48: 1 | 广西壮族自治区桂林市临桂区水务水利设施P | 新建建设内容包括河道治理工程；供水工程（ | 113934.98 | 完善前期手续。 | 桂林市临桂区水利局 | 临桂区政府 | 前期 | 其他水利 | 
